docId,slug,productTitle,asin,httpStatus,inStock,detectedTitle,titleMatch,pageBytes,confidence
"b3f36ff5-0b3a-43f1-a34f-9b2329661461","philips-norelco-9000-prestige","Philips Norelco Shaver 9000 Prestige (Rechargeable Wet & Dry)","B09DH6ST66","","UNKNOWN","","UNKNOWN","","LOW"
"c9ce6e2a-9ddd-4a6b-a3ed-b70bc20eb25e","philips-oneblade-pro-qp6542-trimmer","Philips OneBlade Pro (QP6542/10)","B0F48WNR88","","UNKNOWN","","UNKNOWN","","LOW"
"598e07af-36b3-4d0e-bdd8-c90c3d168688","philips-series-7000-mg7920-trimmer","Philips Series 7000 All-in-One Trimmer (MG7920/15)","B0CQCVFHW2","","UNKNOWN","","UNKNOWN","","LOW"
"3c12fc6d-34bf-45e8-8554-6adf1dd75c0c","philips-shaver-series-1000-s1151","Philips Shaver S1151/00 (Series 1000)","B0CQCL4SK5","","UNKNOWN","","UNKNOWN","","LOW"
"be55aa15-2499-41d5-b3d6-94dee28f9344","pritech-3-in-1-grooming-set-shaver","PRITECH 3-in-1 Electric Shaver & Grooming Set","B083FCB4L8","","UNKNOWN","","UNKNOWN","","LOW"
"c3ef1034-e615-4d0e-9c7c-6cd8b53fdd9d","ps5-slim-digital-ea-sports-fc-26-bundle-console","Sony PlayStation 5 Slim Digital Console – EA SPORTS FC 26 Bundle","B0FWRRXZ3J","","UNKNOWN","","UNKNOWN","","LOW"
"c8d09085-b15e-4b26-afce-e19b26f01aad","remington-f5-5800-foil-shaver","Remington F5-5800","B00BB5YHEI","","UNKNOWN","","UNKNOWN","","LOW"
"6f80c5a8-b663-40ec-aeeb-8198c1643071","reolink-e1-pro-2k-camera-baby-monitor","REOLINK E1 Pro 2K+ Security Camera","B07THQDSBD","","UNKNOWN","","UNKNOWN","","LOW"
"ef95f957-d15e-41da-ac3a-b078f60ff429","samsung-galaxy-buds3-pro-earbuds","Samsung Galaxy Buds3 Pro","B0D9LT4F24","","UNKNOWN","","UNKNOWN","","LOW"
"e0929c3f-c196-4b39-a091-b234abc6a819","samsung-galaxy-s25-ultra-5g-uae-smartphone","Samsung Galaxy S25 Ultra 5G (UAE Version)","B0FH6RQWWK","","UNKNOWN","","UNKNOWN","","LOW"
"b81a8aac-6bac-452f-b415-b61336f5b9fa","sebamed-ph5-5-baby-body-lotion","Sebamed Baby Body Lotion","B07P75TVNS","","UNKNOWN","","UNKNOWN","","LOW"
"dec7ed78-5bc9-4e3b-af03-aebaa55e7a6f","sennheiser-momentum-4-wireless-headphone","Sennheiser Momentum 4 Wireless Headphone","B0B6GHW1SX","","UNKNOWN","","UNKNOWN","","LOW"
"7ba1e8e1-af01-4eca-bbbc-0fee929fdef8","skull-shaver-pitbull-gold-pro","Skull Shaver Pitbull Gold PRO GX5","B0DSWRBTQV","","UNKNOWN","","UNKNOWN","","LOW"
"2aa8fc46-0ab0-4685-904c-9c5b3b270ec7","sony-wf-1000xm5-earbuds","Sony WF-1000XM5 Noise Cancelling Earbuds","B0C33XXS56","","UNKNOWN","","UNKNOWN","","LOW"
"27f30e24-4f4f-414a-98ae-aee92ec3f541","sony-wh-1000xm6-wireless-headphone","Sony WH-1000XM6 Wireless Noise Canceling Headphones","B0F3PQHWTZ","","UNKNOWN","","UNKNOWN","","LOW"
"10dabd05-9057-4af8-bc83-8674621b09c1","sony-wh-ch720n-wireless-headphone","Sony WH-CH720N Noise Cancelling Headphone","B0BS1QCFHX","","UNKNOWN","","UNKNOWN","","LOW"
"06eac1f9-a86b-4285-b884-aa2839a3f2e7","soundcore-anker-liberty-4-nc-earbuds","soundcore by Anker Liberty 4 NC Adaptive Noise Cancelling Earbuds","B0BZV4QFP8","","UNKNOWN","","UNKNOWN","","LOW"
"56d8d2d5-affa-459e-9c4c-10e991f9a8aa","soundcore-anker-p20i-earbuds","soundcore Anker P20i True Wireless Earbuds","B0BTYCRJSS","","UNKNOWN","","UNKNOWN","","LOW"
"f1cd2aa3-b8c3-4ab3-b520-90fc7f39f009","soundcore-life-q30-wireless-headphone","Soundcore Life Q30 Hybrid Headphone","B08HMWZBXC","","UNKNOWN","","UNKNOWN","","LOW"
"6586acea-e91d-464c-a3e1-65d06eaaf778","soundcore-p30i-noise-cancelling-earbuds","soundcore P30i Noise Cancelling Earbuds","B0CRTYZG5C","","UNKNOWN","","UNKNOWN","","LOW"
"7624bdde-4a34-4dca-a6bb-d9e0d565167a","soundcore-space-q45-wireless-headphone","Soundcore Space Q45 by Anker Wireless Headphone","B0B5VHRX7F","","UNKNOWN","","UNKNOWN","","LOW"
"f4067f4f-e497-47dd-8d22-eb2e2afad09d","sudocrem-antiseptic-healing-cream","Sudocrem Antiseptic Healing Cream","B000ZLQJHC","","UNKNOWN","","UNKNOWN","","LOW"
"841d60f2-8bf4-4340-9d11-5193a6eb86e6","tozo-t10-wireless-earbuds","TOZO T10 Wireless Earbuds","B0CJHXX7NP","","UNKNOWN","","UNKNOWN","","LOW"
"4bd92af0-9162-4337-af12-e3b8215fa90b","tp-link-tapo-c200-baby-monitor","TP-Link Tapo C200 Pan/Tilt Camera","B0829KDY9X","","UNKNOWN","","UNKNOWN","","LOW"
"058e21b6-c78b-4764-bd3e-acc8bacffc99","ugreen-clipbuds-open-earbuds","UGREEN ClipBuds Open-Ear Earbuds","B0F94D64P3","","UNKNOWN","","UNKNOWN","","LOW"
"b99e70ad-2b71-45e0-abf1-91edaaebd17b","vtech-vm819-baby-monitor","VTech VM819 Digital Video Baby Monitor","B08V8RWP3W","","UNKNOWN","","UNKNOWN","","LOW"
"e1e4247c-a58f-4d16-824a-65cbe3743a4e","wahl-travel-shaver-3615-1027","Wahl Travel Shaver (3615-1027)","B0047UE91U","","UNKNOWN","","UNKNOWN","","LOW"
"3d5bf2f0-12eb-4b13-aa65-06cc175b0c17","xiaomi-redmi-buds-6-play-earbuds","Xiaomi Redmi Buds 6 Play","B0DBHRWRKC","","UNKNOWN","","UNKNOWN","","LOW"
"c91dc4a0-c2a4-4740-bcb0-8f4695d5243b","yi-security-home-camera-baby-monitor","YI Security Home Indoor Camera","B074389PMT","","UNKNOWN","","UNKNOWN","","LOW"
